siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
777289	728x90	1183	3531	5	0	1.74	2011-09-27	2011-03-03	208
798121	160x600	87	1648	4	0	1.74	2011-04-22	2011-03-09	44
800746	300x250	1183	798	1	0	1.75	2011-12-07	2011-07-13	147
792068	300x250	1183	2210	18	0	1.75	2011-05-28	2011-03-01	88
796983	300x250	1183	1070	0	0	1.76	2011-12-10	2011-07-13	150
798011	160x600	87	6206	2	0	1.77	2011-12-10	2011-03-02	283
790468	300x250	1183	14241	7	0	1.77	2011-11-04	2011-03-03	246
772827	728x90	1183	5980	0	0	1.77	2011-11-20	2011-03-01	264
782359	728x90	1183	6584	0	0	1.77	2011-07-03	2011-03-01	124
797369	728x90	1183	5535	2	0	1.77	2011-12-11	2011-03-11	275
799120	160x600	1183	3129	4	0	1.78	2011-12-11	2011-07-13	151
776028	300x250	1183	5160	0	0	1.78	2011-07-28	2011-03-05	145
767948	728x90	87	14084	6	0	1.78	2011-10-18	2011-03-01	231
774189	468x60	1183	13138	3	0	1.78	2011-12-08	2011-07-01	160
795335	728x90	1183	162829	136	1	1.78	2011-09-04	2011-03-01	187
777409	160x600	1183	34058	1	0	1.78	2011-04-24	2011-03-01	54
805095	160x600	87	1743	0	0	1.79	2011-12-03	2011-07-13	143
798404	728x90	1183	3498	1	1	1.79	2011-12-11	2011-07-13	151
784909	300x250	1183	7817	8	0	1.79	2011-12-11	2011-03-11	275
787924	160x600	1236	1386	1	0	1.79	2011-04-23	2011-03-09	45
780425	728x90	1183	8605	0	0	1.79	2011-07-07	2011-03-01	128
798228	300x250	1183	11270	11	0	1.80	2011-12-07	2011-03-09	273
781595	160x600	1183	1867	0	0	1.81	2011-07-24	2011-03-26	120
785213	300x250	1183	8368	2	0	1.82	2011-10-10	2011-03-01	223
791432	300x250	87	2182	0	0	1.82	2011-09-21	2011-03-03	202
800702	180x150	1183	45680	1	0	1.82	2011-11-18	2011-04-18	214
783645	728x90	1183	10546	0	0	1.82	2011-12-06	2011-03-28	253
800200	728x90	1183	3010	0	0	1.84	2011-12-11	2011-03-27	259
780883	728x90	87	3256	0	0	1.84	2011-10-21	2011-03-09	226
772828	160x600	1183	9864	1	0	1.84	2011-10-25	2011-03-01	238
777230	160x600	1183	3683	4	0	1.85	2011-11-04	2011-03-02	247
784857	728x90	1183	1243	0	0	1.85	2011-04-14	2011-03-01	44
780178	300x250	1183	7798	0	0	1.85	2011-12-11	2011-03-01	285
778655	300x250	81	19636	3	0	1.86	2011-09-26	2011-04-02	177
797750	728x90	1183	9564	0	0	1.86	2011-12-09	2011-03-09	275
790642	300x250	1183	2621	0	0	1.86	2011-10-04	2011-03-09	209
799311	728x90	1183	2160	1	0	1.87	2011-12-11	2011-03-09	277
805890	728x90	87	4014	17	0	1.87	2011-08-09	2011-07-13	27
802992	300x250	1183	3960	0	0	1.87	2011-12-07	2011-07-13	147
804058	300x250	87	4337	0	0	1.87	2011-12-11	2011-07-16	148
793651	300x250	85	10635	0	0	1.88	2011-07-12	2011-03-01	133
793273	160x600	1183	2452	2	0	1.88	2011-05-05	2011-03-01	65
744890	728x90	1	1558	0	0	1.90	2011-04-22	2011-03-09	44
